Rank,School_x,Conference_x,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State_x,HomeTeams,Year,School_y,Conference_y,Sport,State_y,GSR,FGR,SchoolG
68,Vanderbilt,SEC,Derek Mason,2812523,1234,6,74,27,47,0,0.365,Vanderbilt,Vanderbilt Stadium,39790,Nashville,Tennessee,Vanderbilt Commodores,1998,Vanderbilt University,Southeastern Conference,Football,TN,93,88,Vanderbilt
69,Kent State,MAC,Sean Lewis,440000,1162,2,25,9,16,0,0.36,Kent State,Dix Stadium,30520,Kent,Ohio,Kent State Golden Flashes,1998,Kent State University,Mid-American Conference,Football,OH,74,67,Kent State
70,Illinois,Big Ten,Lovie Smith,5000000,1808,4,49,15,34,0,0.306,Illinois,Memorial Stadium,60670,Champaign,Illinois,Illinois Fighting Illini,1998,Eastern Illinois University,Ohio Valley Conference,Football,IL,63,50,Illinois
71,Arkansas,SEC,Chad Morris,3500000,1386,5,59,18,41,0,0.305,Arkansas,Donald W. Reynolds Razorback Stadium,76212,Fayetteville,Arkansas,Arkansas Razorbacks,1998,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,47,33,Arkansas
72,New Mexico State,Ind.,Doug Martin,419640,1231,14,167,51,116,0,0.305,New Mexico State,Aggie Memorial Stadium,30343,Las Cruces,New Mexico,New Mexico State Aggies,1998,New Mexico State University,Sun Belt Conference,Football,NM,58,52,New Mexico State
73,Oregon State,Pac-12,Jonathan Smith,1900008,1806,2,24,7,17,0,0.292,Oregon State,Reser Stadium,45674,Corvallis,Oregon,Oregon State Beavers,1998,Oregon State University,Pac-12 Conference,Football,OR,53,46,Oregon State
74,Texas State,Sun Belt,Everett Withers,700000,2121,4,48,14,34,0,0.292,Texas State,Jim Wacker Field at Bobcat Stadium,30000,San Marcos,Texas,Texas State Bobcats,1998,Texas State University,Southland Conference,Football,TX,68,62,Texas State
75,East Carolina,AAC,Scottie Montgomery,1102500,1371,3,35,9,26,0,0.257,East Carolina,Dowdy–Ficklen Stadium,50000,Greenville,North Carolina,East Carolina Pirates,1998,East Carolina University,Conference USA,Football,NC,74,64,East Carolina
76,San Jose State,Mt. West,Brent Brennan,590424,194,3,37,8,29,0,0.216,San Jose State,CEFCU Stadium,30456,San Jose,California,San Jose State Spartans,1998,San Jose State University,Western Athletic Conference,Football,CA,36,31,San Jose State
77,South Alabama,Sun Belt,Steve Campbell,600000,272,2,24,5,19,0,0.208,South Alabama,Ladd–Peebles Stadium,40646,Mobile,Alabama,"South Alabama Jaguars, the GoDaddy.com Bowl game, and the Senior Bowl game",2008,University of South Alabama,Sun Belt Conference,Football,AL,64,44,South Alabama
78,Rutgers,Big Ten,Chris Ash,2200000,55,4,40,8,32,0,0.2,Rutgers,High Point Solutions Stadium,52454,Piscataway,New Jersey,Rutgers Scarlet Knights,1998,"Rutgers, The State University of New Jersey, New Brunswick",American Athletic Conference,Football,NJ,53,51,Rutgers
79,Kansas,Big 12,David Beaty,1701109,111,4,48,6,42,0,0.125,Kansas,Arrowhead Stadium,76416,Kansas City,Missouri,Kansas City Chiefs,1998,University of Kansas,Big 12 Conference,Football,KS,46,46,Kansas
80,Arizona State,Pac-12,Herm Edwards,2000000,,,,,,,,,Sun Devil Stadium,65870,Tempe,Arizona,Arizona State Sun Devils and the Cactus Bowl game,1998,Arizona State University,Pac-12 Conference,Football,AZ,52,49,Arizona State
81,Maryland,Big Ten,DJ Durkin,2512000,,,,,,,,,Capital One Field at Maryland Stadium,51802,College Park,Maryland,Maryland Terrapins,1998,"University of Maryland, College Park",Atlantic Coast Conference,Football,MD,63,62,Maryland
