Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Paul Petrino,2013,2017,Idaho,5,60,19,41,0,0.317,1,1,0,0,1
Jerry Pettibone,1985,1996,Oregon State,12,132,46,84,2,0.356,0,0,0,0,
T.M. Pfeiffer,1910,1910,Washington & Lee,1,7,4,3,0,0.571,0,0,0,0,
Robert Pfohl,1917,1917,Newberry,1,6,0,6,0,0,0,0,0,0,
James Phelan,1920,1947,Saint Mary's (CA),27,232,136,82,14,0.616,3,0,3,0,0
Bum Phillips,1962,1962,Texas-El Paso,1,9,4,5,0,0.444,0,0,0,0,
Joker Phillips,2010,2012,Kentucky,3,37,13,24,0,0.351,1,0,1,0,0
E.T. Pickering,1913,1914,Arkansas,2,18,11,7,0,0.611,0,0,0,0,
Frank Piekarski,1905,1907,Washington & Jefferson,3,32,25,7,0,0.781,0,0,0,0,
Bemus Pierce,1906,1906,Carlisle,1,12,9,3,0,0.75,0,0,0,0,
Andy Pilney,1954,1961,Tulane,8,80,25,49,6,0.35,0,0,0,0,
Gary Pinkel,1991,2015,Missouri,25,304,191,110,3,0.633,11,7,4,0,0.636
Joseph Pipal,1907,1917,Oregon State,3,26,11,13,2,0.462,0,0,0,0,
Malcolm Pitt,1943,1944,Richmond,2,15,8,7,0,0.533,0,0,0,0,
Jim Pittman,1966,1971,Texas Christian,6,59,24,33,2,0.424,1,1,0,0,1
Boozer Pitts,1923,1927,Auburn,3,24,7,11,6,0.417,0,0,0,0,
James Pixlee,1919,1937,George Washington,8,70,36,26,8,0.571,0,0,0,0,
J.E. Platt,1903,1904,Texas A&M,2,17,11,5,1,0.676,0,0,0,0,
Curtis Player,1934,1939,Centenary (LA),6,70,37,27,6,0.571,0,0,0,0,
Henry Poaque,1913,1913,Virginia Military Institute,1,10,7,1,2,0.8,0,0,0,0,
Gresham Poe,1903,1903,Virginia,1,10,7,2,1,0.75,0,0,0,0,
Johnny Poe,1896,1896,Navy,1,8,5,3,0,0.625,0,0,0,0,
Brian Polian,2013,2016,Nevada,4,50,23,27,0,0.46,2,1,1,0,0.5
J.B. Pollard,1906,1907,Davidson,2,13,7,3,3,0.654,0,0,0,0,
J.W.H. Pollard,1901,1911,Washington & Lee,6,50,26,17,7,0.59,0,0,0,0,
Ducky Pond,1937,1940,Yale,4,32,12,18,2,0.406,0,0,0,0,
John Pont,1962,1977,Northwestern,16,167,63,101,3,0.386,2,0,2,0,0
Larry Porter,2010,2011,Memphis,2,24,3,21,0,0.125,0,0,0,0,
Frank Potts,1940,1945,Colorado,3,25,16,8,1,0.66,0,0,0,0,
Walter Powell,1920,1920,Stanford,1,7,4,3,0,0.571,0,0,0,0,
Warren Powers,1977,1984,Missouri,8,93,52,38,3,0.575,5,3,2,0,0.6
Carl Prause,1922,1926,Citadel,5,47,27,19,1,0.585,0,0,0,0,
Irving Pray,1919,1922,Louisiana State,2,18,9,9,0,0.5,0,0,0,0,
Glenn Presnell,1942,1942,Nebraska,1,10,3,7,0,0.3,0,0,0,0,
Edwin Price,1951,1956,Texas,6,61,33,27,1,0.549,1,1,0,0,1
Larry Price,1974,1976,Hawaii,3,33,15,18,0,0.455,0,0,0,0,
Mike Price,1989,2017,Texas-El Paso,24,277,131,146,0,0.473,8,3,5,0,0.375
Nibs Price,1926,1930,California,5,47,27,17,3,0.606,1,0,1,0,0
Ron Prince,2006,2008,Kansas State,3,37,17,20,0,0.459,1,0,1,0,0
Earl Pritchard,1917,1918,Oklahoma State,2,15,8,7,0,0.533,0,0,0,0,
Joe Pritchard,1909,1909,Louisiana State,1,8,6,2,0,0.75,0,0,0,0,
Tommy Prothro,1955,1970,UCLA,16,164,104,55,5,0.649,4,2,2,0,0.5
Bob Pruett,1997,2004,Marshall,8,102,79,23,0,0.775,7,5,2,0,0.714
Jeremy Pruitt,2018,2019,Tennessee,2,25,13,12,0,0.52,1,1,0,0,1
Dave Puddington,1968,1970,Kent State,3,30,9,21,0,0.3,0,0,0,0,
Purinton,1904,1905,Bates,2,15,7,5,3,0.567,0,0,0,0,
G.E. Pyle,1911,1913,Florida,3,21,14,5,2,0.714,0,0,0,0,
Jan Quarless,1992,1992,Eastern Michigan,1,7,1,6,0,0.143,0,0,0,0,
J.J. Quill,1906,1906,Sewanee,1,9,8,1,0,0.889,0,0,0,0,
Jeff Quinn,2006,2014,Buffalo,7,58,21,37,0,0.362,3,1,2,0,0.333
Harry Rabenhorst,1918,1919,Wake Forest,2,11,3,8,0,0.273,0,0,0,0,
David Rader,1988,1999,Tulsa,12,134,50,83,1,0.377,2,1,1,0,0.5
Dennis Raetz,1980,1981,Indiana State,2,22,11,10,1,0.523,0,0,0,0,
Leonard Raffensperger,1950,1951,Iowa,2,18,5,10,3,0.361,0,0,0,0,
Bill Raftery,1917,1921,Washington & Lee,4,33,23,10,0,0.697,0,0,0,0,
Vito Ragazzo,1966,1970,Virginia Military Institute,5,51,10,41,0,0.196,0,0,0,0,
Nick Ragus,1947,1948,Northern Arizona,2,17,5,12,0,0.294,0,0,0,0,
Arthur Raimo,1951,1953,Villanova,3,27,16,10,1,0.611,0,0,0,0,
Ellis Rainsberger,1975,1977,Kansas State,3,33,5,28,0,0.152,0,0,0,0,
John Ralston,1959,1996,San Jose State,17,182,97,81,4,0.544,4,2,2,0,0.5
Sonny Randle,1971,1981,Marshall,8,87,32,54,1,0.374,0,0,0,0,
Rick Rasnick,1995,1999,Eastern Michigan,5,55,20,35,0,0.364,0,0,0,0,
John Ray,1969,1972,Kentucky,4,43,10,33,0,0.233,0,0,0,0,
Don Read,1974,1976,Oregon,3,33,9,24,0,0.273,0,0,0,0,
Francis Reagan,1954,1959,Villanova,6,58,17,41,0,0.293,0,0,0,0,
Henry Redd,1932,1940,Virginia Tech,9,88,43,37,8,0.534,0,0,0,0,
Daniel Reed,1903,1903,Penn State,1,8,5,3,0,0.625,0,0,0,0,
Tom Reed,1978,1985,North Carolina State,8,88,43,43,2,0.5,0,0,0,0,
Chuck Reedy,1993,1996,Baylor,4,45,23,22,0,0.511,1,0,1,0,0
Trevor Rees,1962,1963,Kent State,2,18,6,11,1,0.361,0,0,0,0,
Joe Reeves,1907,1907,Navy,1,12,9,2,1,0.792,0,0,0,0,
Graham Reid,1902,1903,Simpson,2,10,3,7,0,0.3,0,0,0,0,
William Reid,1901,1906,Harvard,3,34,30,3,1,0.897,0,0,0,0,
J. Reilly,1912,1912,Washington & Lee,1,9,8,1,0,0.889,0,0,0,0,
Joe Reilly,1904,1908,Georgetown,3,24,11,12,1,0.479,0,0,0,0,
Bo Rein,1976,1979,North Carolina State,4,46,27,18,1,0.598,2,2,0,0,1
Bill Reinhard,1939,1941,George Washington,3,26,11,13,2,0.462,0,0,0,0,
Bill Reinhart,1946,1947,Merchant Marine,2,22,6,16,0,0.273,0,0,0,0,
Larry Reisbig,1987,1989,Long Beach State,3,35,11,24,0,0.314,0,0,0,0,
L.W. Reiss,1911,1911,Virginia Tech,1,9,6,1,2,0.778,0,0,0,0,
Howard Reiter,1903,1911,Lehigh,5,50,20,26,4,0.44,0,0,0,0,
Joseph Restic,1971,1981,Harvard,11,101,59,39,3,0.599,0,0,0,0,
Billy Reynolds,1902,1902,Georgia,1,7,4,2,1,0.643,0,0,0,0,
Pete Reynolds,1919,1926,Syracuse,3,30,20,7,3,0.717,0,0,0,0,
William Reynolds,1891,1891,Rutgers,1,14,8,6,0,0.571,0,0,0,0,
Paul Rhoads,2009,2015,Iowa State,7,87,32,55,0,0.368,3,1,2,0,0.333
John Rhodes,1930,1932,Wyoming,3,27,10,15,2,0.407,0,0,0,0,
William Rhodes,1893,1894,Yale,2,27,26,1,0,0.963,0,0,0,0,
Matt Rhule,2013,2019,Baylor,7,90,47,43,0,0.522,4,1,3,0,0.25
Fred Rice,1957,1958,Colgate,2,18,4,14,0,0.222,0,0,0,0,
Homer Rice,1967,1977,Rice,4,41,12,28,1,0.305,0,0,0,0,
J.R. Richards,1905,1922,Wisconsin,11,78,52,18,8,0.718,0,0,0,0,
William Richards,1898,1898,Bowdoin,1,12,8,3,1,0.708,0,0,0,0,
Mark Richt,2001,2018,Miami (FL),18,235,171,64,0,0.728,17,10,7,0,0.588
George Rider,1920,1922,Washington (MO),3,23,9,12,2,0.435,0,0,0,0,
Lincoln Riley,2017,2019,Oklahoma,3,42,36,6,0,0.857,3,0,3,0,0
Mike Riley,1997,2017,Nebraska,17,211,112,99,0,0.531,10,7,3,0,0.7
M. Delmar Ritchie,1898,1898,Franklin & Marshall,1,10,4,4,2,0.5,0,0,0,0,
J. Rix,1917,1921,Southern Methodist,5,42,16,19,7,0.464,0,0,0,0,
Paul Roach,1987,1990,Wyoming,4,50,35,15,0,0.7,3,0,3,0,0
Don Robbins,1970,1973,Idaho,4,44,20,24,0,0.455,0,0,0,0,
Fred Robbins,1915,1916,Mississippi,2,17,5,12,0,0.294,0,0,0,0,
Dave Roberts,1997,1998,Baylor,2,22,4,18,0,0.182,0,0,0,0,
Steve Roberts,2002,2010,Arkansas State,9,108,45,63,0,0.417,1,0,1,0,0
Jim Robertson,1923,1925,Oglethorpe,3,32,19,12,1,0.609,0,0,0,0,
Sam Robertson,1980,1985,Louisiana,6,65,29,34,2,0.462,0,0,0,0,
Eddie Robinson,1977,1977,Grambling State,1,11,10,1,0,0.909,0,0,0,0,
Edward Robinson,1898,1925,Brown,24,234,140,82,12,0.624,1,0,1,0,0
Greg Robinson,2005,2008,Syracuse,4,47,10,37,0,0.213,0,0,0,0,
Harvey Robinson,1953,1954,Tennessee,2,21,10,10,1,0.5,0,0,0,0,
John Robinson,1976,2004,Nevada-Las Vegas,18,213,132,77,4,0.629,9,8,1,0,0.889
Lucius Robinson,1889,1889,Trinity (CT),1,9,5,3,1,0.611,0,0,0,0,
Sid Robinson,1917,1919,Mississippi State,3,20,15,5,0,0.75,0,0,0,0,
Stanley Robinson,1920,1923,Mississippi College,4,35,21,11,3,0.643,0,0,0,0,
Knute Rockne,1918,1930,Notre Dame,13,122,105,12,5,0.881,1,1,0,0,1
Foster Rockwell,1906,1906,Yale,1,10,9,0,1,0.95,0,0,0,0,
W.A. Roddick,1909,1909,Chattanooga,1,7,2,3,2,0.429,0,0,0,0,
James Rodgers,1899,1899,Yale,1,10,7,2,1,0.75,0,0,0,0,
Pepper Rodgers,1967,1979,Georgia Tech,13,141,73,65,3,0.528,2,0,2,0,0
Rich Rodriguez,2001,2017,Arizona,16,201,118,83,0,0.587,11,5,6,0,0.455
Darryl Rogers,1969,1984,Arizona State,16,178,109,62,7,0.632,1,1,0,0,1
Edward Rogers,1904,1904,Carlisle,1,12,10,2,0,0.833,0,0,0,0,
George Rogers,1913,1919,Citadel,4,33,14,16,3,0.47,0,0,0,0,
Rat Rogers,1925,1945,West Virginia,9,83,44,31,8,0.578,0,0,0,0,
Tom Rogers,1951,1955,Wake Forest,5,50,21,25,4,0.46,0,0,0,0,
John Rohde,1961,1963,Pacific,3,29,12,17,0,0.414,0,0,0,0,
Nick Rolovich,2016,2019,Hawaii,4,55,28,27,0,0.509,3,2,1,0,0.667
E. Lowell Romney,1938,1948,Utah State,10,87,40,43,4,0.483,1,0,1,0,0
Ott Romney,1923,1936,Brigham Young,14,120,66,47,7,0.579,0,0,0,0,
John Roning,1951,1960,Denver,10,101,45,54,2,0.455,0,0,0,0,
Ted Roof,2003,2007,Duke,5,51,6,45,0,0.118,0,0,0,0,
James Root,1972,1979,William & Mary,8,88,39,48,1,0.449,0,0,0,0,
Reginald Root,1933,1933,Yale,1,8,4,4,0,0.5,0,0,0,0,
Bill Roper,1909,1909,Missouri,1,8,7,0,1,0.938,0,0,0,0,
Kurt Roper,2018,2018,Colorado,1,1,0,1,0,0,0,0,0,0,
Glen Rose,1944,1945,Arkansas,2,21,8,12,1,0.405,0,0,0,0,
Tim Rose,1983,1989,Miami (OH),7,78,31,44,3,0.417,1,0,1,0,0
Bobby Ross,1973,2006,Army,18,206,103,101,2,0.505,6,4,2,0,0.667
Tom Rossley,1991,1996,Southern Methodist,6,66,15,48,3,0.25,0,0,0,0,
Claude Rothgeb,1928,1928,Rice,1,9,2,7,0,0.222,0,0,0,0,
C.J. Rothget,1910,1918,Colorado College,9,61,41,18,2,0.689,0,0,0,0,
Matt Rothwell,1903,1903,Colorado State,1,7,6,1,0,0.857,0,0,0,0,
Ed Roundy,1922,1922,Hampden-Sydney,1,9,1,8,0,0.111,0,0,0,0,
Reddy Rowe,1910,1910,Wake Forest,1,9,2,7,0,0.222,0,0,0,0,
Bo Rowland,1940,1951,George Washington,7,61,28,31,2,0.475,0,0,0,0,
Darrell Royal,1954,1976,Texas,23,249,184,60,5,0.749,16,8,7,1,0.531
Joe Rudolph,2014,2014,Pittsburgh,1,1,0,1,0,0,1,0,1,0,0
Joe Ruetz,1950,1950,Saint Mary's (CA),1,10,2,7,1,0.25,0,0,0,0,
Clive Rush,1962,1962,Toledo,1,9,3,6,0,0.333,0,0,0,0,
John Rush,1915,1919,Cornell,3,24,15,9,0,0.625,0,0,0,0,
John Russ,1906,1906,Tulane,1,5,0,4,1,0.1,0,0,0,0,
Russel,1908,1908,Colorado Mines,1,5,2,3,0,0.4,0,0,0,0,
H.N. Russell,1950,1952,Southern Methodist,3,30,13,15,2,0.467,0,0,0,0,
Rod Rust,1967,1972,North Texas,6,62,29,32,1,0.476,0,0,0,0,
R.B. Rutherford,1917,1923,Oregon State,7,53,28,19,6,0.585,0,0,0,0,
Jack Ryan,1923,1924,Wisconsin,2,15,5,6,4,0.467,0,0,0,0,
Lou Saban,1955,1979,Army,5,52,15,35,2,0.308,0,0,0,0,
Nick Saban,1990,2019,Alabama,24,314,248,65,1,0.791,25,15,10,0,0.6
Charlie Sadler,1991,1995,Northern Illinois,5,55,18,37,0,0.327,0,0,0,0,
Joe Salem,1979,1983,Minnesota,5,55,19,35,1,0.355,0,0,0,0,
Louis Salmon,1904,1904,Notre Dame,1,8,5,3,0,0.625,0,0,0,0,
Tony Samuel,1997,2004,New Mexico State,8,91,34,57,0,0.374,0,0,0,0,
Tony Sanchez,2015,2019,Nevada-Las Vegas,5,60,20,40,0,0.333,0,0,0,0,
Red Sanders,1940,1957,UCLA,15,146,102,41,3,0.709,2,0,2,0,0
Foster Sanford,1904,1904,Virginia,1,9,6,3,0,0.667,0,0,0,0,
George Sanford,1899,1923,Rutgers,12,112,67,39,6,0.625,0,0,0,0,
Mike Sanford,2017,2018,Western Kentucky,2,25,9,16,0,0.36,1,0,1,0,0
Mike Sanford,2005,2009,Nevada-Las Vegas,5,59,16,43,0,0.271,0,0,0,0,
Phil Sarboe,1945,1949,Washington State,5,46,17,26,3,0.402,0,0,0,0,
Steve Sarkisian,2009,2015,Southern California,7,81,46,35,0,0.568,4,2,2,0,0.5
Moody Sarno,1944,1945,Boston College,2,14,7,7,0,0.5,0,0,0,0,
Ralph Sasse,1935,1937,Mississippi State,3,32,20,10,2,0.656,1,0,1,0,0
Scott Satterfield,2014,2019,Louisville,6,76,55,21,0,0.724,4,4,0,0,1
George Sauer,1946,1955,Baylor,10,101,56,37,8,0.594,3,0,3,0,0
John Sauer,1955,1956,Citadel,2,18,8,9,1,0.472,0,0,0,0,
Bud Saunders,1923,1926,Clemson,4,27,9,17,1,0.352,0,0,0,0,
William Saunders,1920,1938,Denver,12,94,49,36,9,0.569,0,0,0,0,
Anthony Savage,1918,1918,Washington,1,2,1,1,0,0.5,0,0,0,0,
Mack Saxon,1935,1941,Texas-El Paso,7,65,32,28,5,0.531,1,0,1,0,0
Tommy Scaffe,1933,1933,Wofford,1,9,3,6,0,0.333,0,0,0,0,
Butch Scanlon,1918,1920,Purdue,3,20,7,12,1,0.375,0,0,0,0,
Chris Scelfo,1998,2006,Tulane,9,94,37,57,0,0.394,2,2,0,0,1
Dick Scesniak,1983,1985,Kent State,3,33,8,25,0,0.242,0,0,0,0,
Bo Schembechler,1963,1989,Michigan,27,307,234,65,8,0.775,17,5,12,0,0.294
H.R. Schenker,1906,1906,Texas,1,10,9,1,0,0.9,0,0,0,0,
Rip Scherer,1995,2000,Memphis,6,66,22,44,0,0.333,0,0,0,0,
Greg Schiano,2001,2011,Rutgers,11,135,68,67,0,0.504,6,5,1,0,0.833
Paul Schissler,1924,1932,Oregon State,9,80,48,30,2,0.613,0,0,0,0,
Merle Schlosser,1962,1963,Western Michigan,2,18,7,11,0,0.389,0,0,0,0,
Warren Schmakel,1964,1964,Boston University,1,9,2,7,0,0.222,0,0,0,0,
Francis Schmidt,1922,1942,Idaho,21,197,135,53,9,0.708,0,0,0,0,
Howard Schnellenberger,1979,2011,Florida Atlantic,24,277,141,133,3,0.514,6,6,0,0,1
Harry Schoellkopf,1907,1908,Cornell,2,19,15,3,1,0.816,0,0,0,0,
Paul Schudel,1985,1994,Ball State,10,112,60,48,4,0.554,2,0,2,0,0
Henry Schulte,1914,1920,Nebraska,6,49,24,20,5,0.541,0,0,0,0,
Marchy Schwartz,1935,1950,Stanford,11,103,47,50,6,0.485,0,0,0,0,
Ben Schwartzwalder,1949,1973,Syracuse,25,247,153,91,3,0.626,7,2,5,0,0.286
Brad Scott,1994,1998,South Carolina,5,56,23,32,1,0.42,1,1,0,0,1
George Scott,1934,1935,Colorado Mines,2,14,2,12,0,0.143,0,0,0,0,
Larry Scott,2015,2015,Miami (FL),1,6,4,2,0,0.667,1,0,1,0,0
Xen Scott,1919,1922,Alabama,4,41,29,9,3,0.744,0,0,0,0,
Doug Scovil,1966,1985,San Diego State,9,99,45,51,3,0.47,0,0,0,0,
Bob Seaman,1971,1973,Wichita State,3,33,13,20,0,0.394,0,0,0,0,
Steve Sebo,1954,1959,Pennsylvania,6,54,18,35,1,0.343,0,0,0,0,
Tom Sebring,1925,1927,Florida,3,30,17,11,2,0.6,0,0,0,0,
George Seifert,1975,1976,Cornell,2,18,3,15,0,0.167,0,0,0,0,
Richard Selcer,1970,1971,Xavier,2,20,2,18,0,0.1,0,0,0,0,
Carl Selmer,1975,1976,Miami (FL),2,21,5,16,0,0.238,0,0,0,0,
Scott Shafer,2013,2015,Syracuse,3,37,14,23,0,0.378,1,1,0,0,1
Randy Shannon,2007,2017,Florida,5,54,29,25,0,0.537,2,0,2,0,0
Albert Sharpe,1928,1931,Washington (MO),4,33,11,18,4,0.394,0,0,0,0,
Jimmy Sharpe,1974,1977,Virginia Tech,4,44,21,22,1,0.489,0,0,0,0,
Clark Shaughnessy,1915,1946,Pittsburgh,24,207,108,89,10,0.546,1,1,0,0,1
Frank Shaughnessy,1907,1907,Clemson,1,8,4,4,0,0.5,0,0,0,0,
Buck Shaw,1937,1957,Air Force,8,72,46,20,6,0.681,1,1,0,0,1
David Shaw,2011,2019,Stanford,9,120,86,34,0,0.717,8,5,3,0,0.625
Gifford Shaw,1918,1918,Presbyterian,1,2,2,0,0,1,0,0,0,0,
William Shaw,1915,1915,Newberry,1,7,2,5,0,0.286,0,0,0,0,
Terry Shea,1990,2000,Rutgers,7,78,26,50,2,0.346,1,1,0,0,1
Dal Shealy,1980,1981,Richmond,2,22,9,13,0,0.409,0,0,0,0,
Shack Shealy,1904,1904,Clemson,1,7,3,3,1,0.5,0,0,0,0,
Joseph Sheeketski,1939,1950,Nevada,7,71,39,29,3,0.57,2,1,1,0,0.5
James Sheldon,1905,1913,Indiana,9,63,34,26,3,0.563,0,0,0,0,
Jacob Shell,1888,1889,Swarthmore,2,12,1,11,0,0.083,0,0,0,0,
Chuck Shelton,1977,1995,Pacific,14,154,58,95,1,0.38,0,0,0,0,
Henry Shenk,1943,1945,Kansas,3,30,11,16,3,0.417,0,0,0,0,
Mike Sheppard,1984,1991,New Mexico,8,93,25,68,0,0.269,0,0,0,0,
Dick Sheridan,1978,1992,North Carolina State,11,128,82,42,4,0.656,6,2,4,0,0.333
Bo Sherman,1952,1959,George Washington,8,72,31,38,3,0.451,1,1,0,0,1
Mike Sherman,2008,2011,Texas A&M,4,50,25,25,0,0.5,2,0,2,0,0
Jackie Sherrill,1976,2003,Mississippi State,26,304,179,121,4,0.595,14,8,6,0,0.571
Ralph Sherwin,1911,1911,Kansas,1,8,4,2,2,0.625,0,0,0,0,
Ted Shipkey,1931,1951,Montana,10,93,52,38,3,0.575,1,0,1,0,0
Charles Shira,1967,1972,Mississippi State,6,63,16,45,2,0.27,0,0,0,0,
Bernie Shively,1945,1945,Kentucky,1,10,2,8,0,0.2,0,0,0,0,
Jim Shofner,1974,1976,Texas Christian,3,33,2,31,0,0.061,0,0,0,0,
Mike Shula,2003,2006,Alabama,4,49,26,23,0,0.531,2,1,1,0,0.5
Fritz Shurmur,1971,1974,Wyoming,4,44,15,29,0,0.341,0,0,0,0,
Larry Siemering,1950,1951,Arizona State,2,21,13,6,2,0.667,0,0,0,0,
Jules Sikes,1948,1953,Kansas,6,60,35,25,0,0.583,0,0,0,0,
Bob Simmons,1995,2000,Oklahoma State,6,68,30,38,0,0.441,1,0,1,0,0
F.M. Simmons,1909,1910,Davidson,2,17,9,6,2,0.588,0,0,0,0,
Matt Simon,1995,1997,North Texas,3,33,11,22,0,0.333,0,0,0,0,
Claude Simons,1942,1945,Tulane,4,31,13,17,1,0.435,0,0,0,0,
Chauncey Simpson,1943,1945,Missouri,3,28,12,14,2,0.464,1,0,1,0,0
Dan Simrell,1982,1989,Toledo,8,89,49,38,2,0.562,1,0,1,0,0
Steve Sinko,1957,1963,Boston University,7,62,23,36,3,0.395,0,0,0,0,
Kalani Sitake,2016,2019,Brigham Young,4,52,27,25,0,0.519,3,2,1,0,0.667
Louis Skender,1950,1950,Duquesne,1,9,2,6,1,0.278,0,0,0,0,
Steve Sloan,1973,1986,Duke,14,157,68,86,3,0.443,3,0,2,1,0.167
R.C. Slocum,1989,2002,Texas A&M,14,172,123,47,2,0.721,11,3,8,0,0.273
Kirby Smart,2016,2019,Georgia,4,56,44,12,0,0.786,5,3,2,0,0.6
Andy Smith,1913,1925,California,13,118,86,22,10,0.771,2,1,0,1,0.75
Clipper Smith,1937,1938,Duquesne,2,20,10,10,0,0.5,0,0,0,0,
Clyde Smith,1948,1954,Arizona State,7,65,23,40,2,0.369,0,0,0,0,
Dave Smith,1972,1975,Southern Methodist,4,44,22,20,2,0.523,0,0,0,0,
Fred Smith,1900,1900,Illinois,1,12,7,3,2,0.667,0,0,0,0,
H.E. Smith,1948,1949,Furman,2,18,5,12,1,0.306,0,0,0,0,
Harry Smith,1899,1906,Amherst,8,79,41,31,7,0.563,0,0,0,0,
Homer Smith,1965,1978,Army,12,125,53,71,1,0.428,1,0,1,0,0
John Smith,1995,2012,Arkansas,13,156,83,73,0,0.532,7,1,6,0,0.143
Jonathan Smith,2018,2019,Oregon State,2,24,7,17,0,0.292,0,0,0,0,
Larry Smith,1976,2000,Missouri,24,276,143,126,7,0.531,10,3,6,1,0.35
Lovie Smith,2016,2019,Illinois,4,49,15,34,0,0.306,1,0,1,0,0
Maurice Smith,1939,1946,San Francisco,3,26,13,13,0,0.5,0,0,0,0,
Paul Smith,1908,1909,Dickinson,2,19,7,9,3,0.447,0,0,0,0,
Richard Smith,1925,1925,Oregon,1,7,1,5,1,0.214,0,0,0,0,
Riley Smith,1941,1941,Washington & Lee,1,9,1,6,2,0.222,0,0,0,0,
Robert Smith,1946,1947,Furman,2,19,4,15,0,0.211,0,0,0,0,
W.C. Smith,1914,1915,Wake Forest,2,16,6,10,0,0.375,0,0,0,0,
Wayne Smith,1902,1902,Washington (MO),1,9,2,6,1,0.278,0,0,0,0,
Henry Smither,1906,1907,Army,2,17,8,7,2,0.529,0,0,0,0,
Carl Snavely,1930,1952,Cornell,18,166,106,49,11,0.672,3,0,3,0,0
Bill Snyder,1989,2018,Kansas State,27,333,215,117,1,0.647,19,9,10,0,0.474
Bruce Snyder,1976,2000,Arizona State,21,237,124,107,6,0.536,6,3,3,0,0.5
Charlie Snyder,1962,1967,Marshall,6,60,23,36,1,0.392,0,0,0,0,
Mark Snyder,2005,2009,Marshall,5,60,23,37,0,0.383,1,1,0,0,1
Ossie Solem,1921,1945,Syracuse,24,194,99,83,12,0.541,0,0,0,0,
Frank Solich,1998,2019,Ohio,21,271,171,100,0,0.631,16,7,9,0,0.438
Frank Sommers,1912,1912,Colgate,1,7,5,2,0,0.714,0,0,0,0,
William Spaulding,1922,1938,UCLA,14,127,67,50,10,0.567,0,0,0,0,
Jake Spavital,2019,2019,Texas State,1,12,3,9,0,0.25,0,0,0,0,
Frank Spaziani,2006,2012,Boston College,5,51,22,29,0,0.431,3,1,2,0,0.333
Clarence Spears,1921,1944,Maryland,17,147,89,48,11,0.639,1,1,0,0,1
Cliff Speegle,1955,1962,Oklahoma State,8,81,36,42,3,0.463,1,1,0,0,1
Frederick Speik,1908,1909,Purdue,2,14,6,8,0,0.429,0,0,0,0,
Steve Spurrier,1987,2015,South Carolina,26,319,228,89,2,0.718,21,11,10,0,0.524
Tal Stafford,1918,1918,North Carolina State,1,4,1,3,0,0.25,0,0,0,0,
Amos Alonzo Stagg,1891,1943,Pacific,43,434,282,123,29,0.683,0,0,0,0,
Skip Stahley,1941,1961,Idaho,13,115,41,72,2,0.365,0,0,0,0,
Gene Stallings,1965,1996,Alabama,14,160,97,61,2,0.613,7,6,1,0,0.857
Dutch Stanley,1933,1935,Florida,3,29,14,13,2,0.517,0,0,0,0,
Jim Stanley,1973,1978,Oklahoma State,6,68,35,31,2,0.529,2,2,0,0,1
Clay Stapleton,1958,1967,Iowa State,10,99,42,53,4,0.444,0,0,0,0,
Raymond Starbuck,1901,1902,Cornell,2,23,19,4,0,0.826,0,0,0,0,
Clarence Stasavich,1965,1969,East Carolina,5,49,27,21,1,0.561,1,1,0,0,1
Ralph Staub,1977,1980,Cincinnati,4,44,14,28,2,0.341,0,0,0,0,
Leslie Stauffer,1910,1910,Chattanooga,1,8,5,2,1,0.688,0,0,0,0,
N.P. Stauffer,1896,1911,Mississippi,7,70,42,23,5,0.636,0,0,0,0,
Kevin Steele,1999,2002,Baylor,4,45,9,36,0,0.2,0,0,0,0,
Walter Steffen,1922,1932,Carnegie Mellon,11,97,56,33,8,0.619,0,0,0,0,
Herman Stegeman,1920,1922,Georgia,3,29,20,6,3,0.741,0,0,0,0,
Herman Steiner,1922,1922,Duke,1,10,7,2,1,0.75,0,0,0,0,
Mal Stevens,1928,1941,New York University,13,109,54,45,10,0.541,0,0,0,0,
Tally Stevens,1959,1960,Brigham Young,2,21,6,15,0,0.286,0,0,0,0,
Bill Stewart,2007,2010,West Virginia,4,40,28,12,0,0.7,4,2,2,0,0.5
Edward Stewart,1916,1926,Texas,8,69,41,23,5,0.63,0,0,0,0,
George Stewart,1890,1893,Harvard,4,49,46,3,0,0.939,0,0,0,0,
James Stewart,1942,1944,Southern Methodist,3,30,10,18,2,0.367,0,0,0,0,
John Stewart,1923,1923,Montana,1,8,4,4,0,0.5,0,0,0,0,
H.O. Stickney,1894,1895,Wisconsin,2,15,10,4,1,0.7,0,0,0,0,
Tom Stidham,1937,1945,Marquette,9,82,47,30,5,0.604,1,0,1,0,0
John Stiegman,1956,1964,Pennsylvania,9,82,34,48,0,0.415,0,0,0,0,
Jumbo Stiehm,1911,1921,Indiana,11,79,55,20,4,0.722,0,0,0,0,
Lynn Stiles,1976,1978,San Jose State,3,34,18,16,0,0.529,0,0,0,0,
George Stillman,1901,1901,Yale,1,13,11,1,1,0.885,0,0,0,0,
Lon Stiner,1933,1948,Oregon State,14,140,74,49,17,0.589,1,1,0,0,1
Harry Stiteler,1948,1950,Texas A&M,3,31,8,21,2,0.29,1,1,0,0,1
Chuck Stobart,1977,1994,Memphis,14,156,69,84,3,0.452,1,1,0,0,1
Mike Stock,1978,1982,Eastern Michigan,5,45,6,38,1,0.144,0,0,0,0,
