Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Dick Hanley,1927,1934,Northwestern,8,66,36,26,4,0.576,0,0,0,0,
William Hanley,1914,1915,Colorado Mines,2,12,9,2,1,0.792,0,0,0,0,
Jake Hanna,1940,1941,Centenary (LA),2,20,3,15,2,0.2,0,0,0,0,
Vic Hanson,1930,1936,Syracuse,7,59,33,21,5,0.602,0,0,0,0,
Jack Harbaugh,1982,1986,Western Michigan,5,55,25,27,3,0.482,0,0,0,0,
Jim Harbaugh,2007,2019,Michigan,9,115,76,39,0,0.661,7,2,5,0,0.286
Lewie Hardage,1932,1934,Oklahoma,3,27,11,12,4,0.481,0,0,0,0,
Wayne Hardin,1959,1982,Temple,18,187,111,71,5,0.607,3,1,2,0,0.333
Jack Harding,1937,1947,Miami (FL),9,89,54,32,3,0.624,1,1,0,0,1
Hank Hardwick,1937,1938,Navy,2,18,8,7,3,0.528,0,0,0,0,
Bill Hargiss,1918,1932,Kansas,7,57,28,26,3,0.518,0,0,0,0,
Jim Harkema,1983,1992,Eastern Michigan,10,103,41,57,5,0.422,1,1,0,0,1
E.H. Harlan,1915,1916,Texas A&M,2,17,12,5,0,0.706,0,0,0,0,
Dick Harlow,1915,1947,Harvard,13,114,71,36,7,0.654,0,0,0,0,
Harvey Harman,1931,1955,Rutgers,17,142,79,60,3,0.567,0,0,0,0,
Harvey Harmon,1930,1930,Sewanee,1,10,3,6,1,0.35,0,0,0,0,
Tom Harp,1961,1977,Indiana State,13,126,52,70,4,0.429,0,0,0,0,
Jesse Harper,1913,1917,Notre Dame,5,40,34,5,1,0.863,0,0,0,0,
Tom Harper,1972,1972,Wake Forest,1,11,2,9,0,0.182,0,0,0,0,
Warren Harper,1963,1964,Texas-El Paso,2,20,3,15,2,0.2,0,0,0,0,
Howard Harpster,1933,1936,Carnegie Mellon,4,34,12,19,3,0.397,0,0,0,0,
C.E. Harris,1899,1904,Grinnell,3,27,11,14,2,0.444,0,0,0,0,
Deed Harris,1917,1917,Carlisle,1,9,3,6,0,0.333,0,0,0,0,
Walt Harris,1989,2006,Stanford,13,154,69,85,0,0.448,6,2,4,0,0.333
John Harrison,1899,1899,Minnesota,1,11,6,3,2,0.636,0,0,0,0,
Bryan Harsin,2013,2019,Boise State,7,93,71,22,0,0.763,5,4,2,0,0.667
C.J. Hart,1925,1927,Brigham Young,3,20,6,12,2,0.35,0,0,0,0,
Dave Hart,1966,1968,Pittsburgh,3,30,3,27,0,0.1,0,0,0,0,
Gerry Hart,1975,1976,Illinois State,2,21,7,13,1,0.357,0,0,0,0,
J.B. Hart,1902,1902,Texas,1,10,6,3,1,0.65,0,0,0,0,
Wayne Hart,1916,1916,Clemson,1,9,3,6,0,0.333,0,0,0,0,
Harry Hartsell,1917,1923,North Carolina State,4,38,16,18,4,0.474,0,0,0,0,
John Hartwell,1895,1895,Yale,1,15,13,0,2,0.933,0,0,0,0,
M.H. Harvey,1902,1904,Mississippi,2,9,4,5,0,0.444,0,0,0,0,
J.A. Harwell,1892,1892,Lehigh,1,9,3,6,0,0.333,0,0,0,0,
Haskell,1893,1893,Tufts,1,11,4,7,0,0.364,0,0,0,0,
P.G. Haskell,1893,1893,Lafayette,1,8,2,6,0,0.25,0,0,0,0,
Ken Hatfield,1979,2005,Rice,27,312,168,140,4,0.545,10,4,6,0,0.4
Bobby Hauck,2010,2014,Nevada-Las Vegas,5,64,15,49,0,0.234,1,0,1,0,0
Percy Haughton,1899,1924,Columbia,13,123,97,19,7,0.817,0,0,0,0,
George Hauser,1926,1944,Minnesota,5,45,24,15,6,0.6,0,0,0,0,
Dan Hawkins,2001,2010,Colorado,10,122,72,50,0,0.59,5,2,3,0,0.4
Jesse Hawley,1910,1928,Dartmouth,12,92,63,28,1,0.69,0,0,0,0,
Billy Hayes,1931,1933,Indiana,3,24,6,14,4,0.333,0,0,0,0,
E.C. Hayes,1914,1916,Mississippi State,3,25,15,8,2,0.64,0,0,0,0,
Tom Hayes,2001,2001,Kansas,1,3,1,2,0,0.333,0,0,0,0,
Woody Hayes,1951,1978,Ohio State,28,276,205,61,10,0.761,11,5,6,0,0.455
Ward Haylett,1942,1944,Kansas State,3,28,6,20,2,0.25,0,0,0,0,
Paul Haynes,2013,2017,Kent State,5,59,14,45,0,0.237,0,0,0,0,
Michael Haywood,2009,2010,Miami (OH),2,25,10,15,0,0.4,0,0,0,0,
Homer Hazel,1925,1929,Mississippi,5,46,21,22,3,0.489,0,0,0,0,
Darrell Hazell,2011,2016,Purdue,6,68,25,43,0,0.368,1,0,1,0,0
Will Healy,2019,2019,Charlotte,1,13,7,6,0,0.538,1,0,1,0,0
Pudge Heffelfinger,1894,1895,Minnesota,2,24,12,12,0,0.5,0,0,0,0,
Ernest Hefferle,1960,1961,Boston College,2,20,7,12,1,0.375,0,0,0,0,
Jack Hegarty,1914,1915,North Carolina State,2,13,5,6,2,0.462,0,0,0,0,
John Heisman,1902,1927,Rice,26,222,148,60,14,0.698,0,0,0,0,
Mark Helfrich,2013,2016,Oregon,4,53,37,16,0,0.698,3,2,1,0,0.667
Clay Helton,2013,2019,Southern California,6,62,40,22,0,0.645,5,2,3,0,0.4
Kim Helton,1993,1999,Houston,7,78,24,53,1,0.314,1,0,1,0,0
Tyson Helton,2019,2019,Western Kentucky,1,13,9,4,0,0.692,1,1,0,0,1
Gus Henderson,1922,1935,Tulsa,6,55,39,14,2,0.727,2,2,0,0,1
Horace Hendrickson,1952,1953,North Carolina State,2,20,4,16,0,0.2,0,0,0,0,
Dan Henning,1994,1996,Boston College,3,36,16,19,1,0.458,1,1,0,0,1
Gwinn Henry,1923,1942,Kansas,16,141,65,67,9,0.493,1,0,1,0,0
J.H. Henry,1903,1903,Vanderbilt,1,8,6,1,1,0.813,0,0,0,0,
George Henshaw,1987,1987,Tulsa,1,11,3,8,0,0.273,0,0,0,0,
Tom Herman,2015,2019,Texas,5,66,47,19,0,0.712,5,4,1,0,0.8
