,School,Conference,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State,HomeTeams
78,San Jose State,Mt. West,Brent Brennan,590424.0,194.0,3.0,37.0,8.0,29.0,0.0,0.21600000000000003,San Jose State,CEFCU Stadium,30456,San Jose,California,San Jose State Spartans
79,South Alabama,Sun Belt,Steve Campbell,600000.0,272.0,2.0,24.0,5.0,19.0,0.0,0.20800000000000002,South Alabama,Ladd–Peebles Stadium,40646,Mobile,Alabama,"South Alabama Jaguars, the GoDaddy.com Bowl game, and the Senior Bowl game"
80,South Carolina,SEC,Will Muschamp,4200000.0,1416.0,8.0,100.0,54.0,46.0,0.0,0.54,South Carolina,Williams-Brice Stadium,80250,Columbia,South Carolina,South Carolina Gamecocks
81,South Florida,AAC,Charlie Strong,1000000.0,1882.0,11.0,127.0,74.0,53.0,0.0,0.583,South Florida,Raymond James Stadium,65647,Tampa,Florida,"Tampa Bay Buccaneers, South Florida Bulls, and the Outback Bowl game"
82,Stanford,Pac-12,David Shaw,4311543.0,1760.0,9.0,120.0,86.0,34.0,0.0,0.7170000000000001,Stanford,Stanford Stadium,50000,Stanford,California,Stanford Cardinal
83,Syracuse,ACC,Dino Babers,2401206.0,59.0,6.0,76.0,41.0,35.0,0.0,0.539,Syracuse,Carrier Dome,49262,Syracuse,New York,Syracuse Orange
84,Tennessee,SEC,Jeremy Pruitt,3846000.0,1588.0,2.0,25.0,13.0,12.0,0.0,0.52,Tennessee,Neyland Stadium,109061,Knoxville,Tennessee,Tennessee Volunteers
85,Tennessee,SEC,Jeremy Pruitt,3846000.0,1588.0,2.0,25.0,13.0,12.0,0.0,0.52,Tennessee,Nissan Stadium,69143,Nashville,Tennessee,"Tennessee Titans, Tennessee State Tigers, and the Music City Bowl game"
86,Tennessee,SEC,Jeremy Pruitt,3846000.0,1588.0,2.0,25.0,13.0,12.0,0.0,0.52,Tennessee,"Johnny ""Red"" Floyd Stadium",31000,Murfreesboro,Tennessee,Middle Tennessee Blue Raiders
87,Texas,Big 12,Tom Herman,5500000.0,879.0,5.0,66.0,47.0,19.0,0.0,0.7120000000000001,Texas,Darrell K Royal–Texas Memorial Stadium,103507,Austin,Texas,Texas Longhorns
88,Texas,Big 12,Tom Herman,5500000.0,879.0,5.0,66.0,47.0,19.0,0.0,0.7120000000000001,Texas,Cotton Bowl,96009,Dallas,Texas,"No permanent home team, used for annual Red River Rivalry game (Texas vs. Oklahoma), State Fair Classic game, First Responder Bowl game (formerly Heart of Dallas Bowl, TicketCity Bowl), and other occasional college football games"
89,Texas,Big 12,Tom Herman,5500000.0,879.0,5.0,66.0,47.0,19.0,0.0,0.7120000000000001,Texas,NRG Stadium,71054,Houston,Texas,"Houston Texans, the Texas Bowl game & the AdvoCare Texas Kickoff"
90,Texas,Big 12,Tom Herman,5500000.0,879.0,5.0,66.0,47.0,19.0,0.0,0.7120000000000001,Texas,Apogee Stadium,30850,Denton,Texas,North Texas Mean Green
91,Texas A&M,SEC,Jimbo Fisher,7500000.0,660.0,10.0,132.0,100.0,32.0,0.0,0.758,Texas A&M,Kyle Field,110633,College Station,Texas,Texas A&M Aggies
92,Texas State,Sun Belt,Everett Withers,700000.0,2121.0,4.0,48.0,14.0,34.0,0.0,0.292,Texas State,Jim Wacker Field at Bobcat Stadium,30000,San Marcos,Texas,Texas State Bobcats
93,Texas Tech,Big 12,Kliff Kingsbury,3703975.0,1075.0,6.0,75.0,35.0,40.0,0.0,0.467,Texas Tech,Jones AT&T Stadium,60454,Lubbock,Texas,Texas Tech Red Raiders
94,Troy,Sun Belt,Neal Brown,810000.0,221.0,5.0,63.0,40.0,23.0,0.0,0.635,West Virginia,Veterans Memorial Stadium,30402,Troy,Alabama,Troy Trojans
